0,16.245166385322946,103.24842972713674,0,0.00,temp/00.jpg
1,16.245140512932963,103.24848486149992,23,6.55,temp/01.0.jpg
1,16.24511464054298,103.2485399958631,47,13.10,temp/01.jpg
2,16.245092754859467,103.24858658810376,19,5.54,temp/02.0.jpg
2,16.245070869175954,103.24863318034441,39,11.07,temp/02.jpg
3,16.24503232269778,103.24869409586996,28,7.79,temp/03.jpg
4,16.245001439029384,103.24877105111355,32,8.90,temp/04.jpg
5,16.244970574920746,103.24881741996396,21,6.02,temp/05.0.jpg
5,16.24493971081211,103.24886378881436,43,12.05,temp/05.jpg
6,16.244901117291743,103.24892745700986,28,8.04,temp/06.jpg
7,16.24487280289526,103.24897551212291,21,6.02,temp/07.0.jpg
7,16.244844488498778,103.24902356723597,43,12.04,temp/07.jpg
8,16.24481489203491,103.24907440298146,22,6.35,temp/08.0.jpg
8,16.24478529557104,103.24912523872696,45,12.69,temp/08.jpg
9,16.24474923597998,103.24918027905991,25,7.11,temp/09.0.jpg
9,16.244713176388917,103.24923531939285,51,14.23,temp/09.jpg
10,16.24468742870868,103.24927428167581,18,5.05,temp/010.0.jpg
10,16.244661681028443,103.24931324395875,36,10.10,temp/010.jpg
11,16.24463205753418,103.24935900357943,21,5.89,temp/011.0.jpg
11,16.244602434039916,103.24940476320012,42,11.78,temp/011.jpg
12,16.244572779718865,103.24944524044439,19,5.44,temp/012.0.jpg
12,16.24454312539781,103.24948571768866,39,10.87,temp/012.jpg
13,16.244510906950662,103.24952876884015,20,5.83,temp/013.0.jpg
13,16.244478688503513,103.24957181999164,41,11.65,temp/013.jpg
14,16.24445164019039,103.24961488197413,19,5.49,temp/014.0.jpg
14,16.244424591877266,103.2496579439566,39,10.99,temp/014.jpg
15,16.24438852392519,103.24969562940672,20,5.68,temp/015.0.jpg
15,16.24435245597311,103.24973331485684,40,11.36,temp/015.jpg
16,16.244324133635764,103.24978445278322,22,6.30,temp/016.0.jpg
16,16.244295811298418,103.2498355907096,45,12.61,temp/016.jpg
17,16.2442622963524,103.24989771973134,27,7.61,temp/017.jpg
